instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
count,,,count_nonzero,sum,amax,mean,amin,amax,std,
54,pace2016,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
2,pace2016,atmost2000,0,0,0,3.3737,2.8815,3.8659,0.6960759154,htd-b150-n1
2,pace2016,atmost2000,0,0,0,3.64415,2.98,4.3083,0.93924993745,htd-b100-n1
2,pace2016,atmost2000,0,0,0,6.2262,3.953,8.4994,3.21479026999,tcs-b50-n1
2,pace2016,atmost2000,0,0,0,6.73135,3.8491,9.6136,4.07611704015,tcs-b150-n1
2,pace2016,atmost2000,0,0,0,6.8214,3.674,9.9688,4.45109576621,tcs-b75-n1
2,pace2016,atmost2000,0,0,0,6.85,4.3894,9.3106,3.47981389158,tcs-b125-n1
2,pace2016,atmost2000,0,0,0,6.9678,4.351,9.5846,3.70071405002,tcs-b100-n1
2,pace2016,atmost2000,0,0,0,7.7984,6.5742,9.0226,1.73128024306,jdrasil-b25-n1
2,pace2016,atmost2000,0,0,0,9.9112,7.6386,12.1838,3.21394174185,jdrasil-b75-n1
2,pace2016,atmost2000,0,0,0,9.97165,7.5705,12.3728,3.39573889529,jdrasil-b75t1800-n1
2,pace2016,atmost2000,0,0,0,10.1754,6.3814,13.9694,5.36552625564,jdrasil-b50-n1
2,pace2016,atmost2000,0,0,0,10.58755,8.7461,12.429,2.60420356443,jdrasil-b150-n1
2,pace2016,atmost2000,0,0,0,12.23665,9.6304,14.8429,3.68579409693,jdrasil-b125-n1
2,pace2016,atmost2000,0,0,0,12.2762,6.435,18.1174,8.26070426053,jdrasil-b100-n1
2,pace2016,atmost2000,0,0,0,,,,,htd-b175-n1
2,pace2016,atmost2000,0,0,0,,,,,jdrasil-b75t90r40-n1
37,pace2016,atmost500,5,20,8,262.997843243,5.8495,7200.12,1180.26523359,jdrasil-b150-n1
37,pace2016,atmost500,4,15,7,749.298808108,3.0002,7200.12,2000.66935573,tcs-b125-n1
37,pace2016,atmost500,3,9,5,11.8014027027,2.1448,23.9276,7.25805561985,htd-b150-n1
37,pace2016,atmost500,3,7,3,231.596443243,6.6133,7200.13,1177.83874501,jdrasil-b125-n1
37,pace2016,atmost500,3,7,3,1255.87740541,3.0124,7200.12,2659.34541693,tcs-b150-n1
37,pace2016,atmost500,1,2,2,11.7738297297,2.1283,23.8896,7.23297977569,htd-b100-n1
37,pace2016,atmost500,1,2,2,28.011427027,5.172,73.0433,17.1395911919,jdrasil-b100-n1
37,pace2016,atmost500,1,2,2,31.3019378378,5.8885,95.1183,20.6675978622,jdrasil-b75t1800-n1
37,pace2016,atmost500,0,0,0,23.4882621622,6.8318,46.2642,12.4837436372,jdrasil-b75-n1
37,pace2016,atmost500,0,0,0,34.9913027027,5.2672,129.927,30.1963829754,jdrasil-b25-n1
37,pace2016,atmost500,0,0,0,36.7448594595,4.9132,134.767,31.768525592,jdrasil-b50-n1
37,pace2016,atmost500,0,0,0,650.917337838,2.397,7200.12,1973.44739732,tcs-b75-n1
37,pace2016,atmost500,0,0,0,736.619497297,1.8877,7200.09,1956.58329482,tcs-b50-n1
37,pace2016,atmost500,0,0,0,1037.37307027,3.0625,7200.11,2275.53306662,tcs-b100-n1
37,pace2016,atmost500,0,0,0,,,,,htd-b175-n1
37,pace2016,atmost500,0,0,0,,,,,jdrasil-b75t90r40-n1
2,pace2016,atmost5000,0,0,0,14.58,13.3217,15.8383,1.77950492553,htd-b150-n1
2,pace2016,atmost5000,0,0,0,14.73635,13.5545,15.9182,1.67138829869,htd-b100-n1
2,pace2016,atmost5000,0,0,0,14.77,13.6206,15.9194,1.62549706859,tcs-b75-n1
2,pace2016,atmost5000,0,0,0,14.99575,14.0984,15.8931,1.2690445402,tcs-b125-n1
2,pace2016,atmost5000,0,0,0,15.10495,14.1303,16.0796,1.37836324857,tcs-b150-n1
2,pace2016,atmost5000,0,0,0,17.10075,16.2691,17.9324,1.17613070915,jdrasil-b150-n1
2,pace2016,atmost5000,0,0,0,17.4757,15.8535,19.0979,2.29413724088,jdrasil-b75t1800-n1
2,pace2016,atmost5000,0,0,0,17.62645,15.8417,19.4112,2.52401765545,jdrasil-b100-n1
2,pace2016,atmost5000,0,0,0,18.4882,16.1922,20.7842,3.24703433921,jdrasil-b75-n1
2,pace2016,atmost5000,0,0,0,18.9838,16.1393,21.8283,4.02273047817,jdrasil-b125-n1
2,pace2016,atmost5000,0,0,0,57.8391,17.7332,97.945,56.7183077112,jdrasil-b25-n1
2,pace2016,atmost5000,0,0,0,57.92305,19.5176,96.3285,54.313508259,jdrasil-b50-n1
2,pace2016,atmost5000,0,0,0,307.6287,13.6974,601.56,415.681630866,tcs-b100-n1
2,pace2016,atmost5000,0,0,0,313.68795,13.3839,613.992,424.694060346,tcs-b50-n1
2,pace2016,atmost5000,0,0,0,,,,,htd-b175-n1
2,pace2016,atmost5000,0,0,0,,,,,jdrasil-b75t90r40-n1
5,pace2016,beyond5000,0,0,0,15.45304,1.4539,19.4752,7.83163854458,htd-b100-n1
5,pace2016,beyond5000,0,0,0,15.45498,1.4979,19.3034,7.80567185782,tcs-b75-n1
5,pace2016,beyond5000,0,0,0,15.47676,1.4315,19.4319,7.85586708632,htd-b150-n1
5,pace2016,beyond5000,0,0,0,15.53244,1.6868,19.223,7.7413977196,jdrasil-b100-n1
5,pace2016,beyond5000,0,0,0,15.70262,1.6684,19.5985,7.84893275369,tcs-b125-n1
5,pace2016,beyond5000,0,0,0,15.7172,1.5962,19.6515,7.89732932611,tcs-b150-n1
5,pace2016,beyond5000,0,0,0,15.73804,2.4183,19.6355,7.45322209034,jdrasil-b75-n1
5,pace2016,beyond5000,0,0,0,16.3311,1.5296,21.0533,8.30323438095,jdrasil-b150-n1
5,pace2016,beyond5000,0,0,0,16.34868,2.0496,20.3043,8.00202586018,jdrasil-b125-n1
5,pace2016,beyond5000,0,0,0,16.3698,1.6609,20.6845,8.23303865289,jdrasil-b75t1800-n1
5,pace2016,beyond5000,0,0,0,51.48804,1.4003,64.2147,28.0001542129,tcs-b50-n1
5,pace2016,beyond5000,0,0,0,51.63536,1.409,64.5045,28.0781258834,jdrasil-b25-n1
5,pace2016,beyond5000,0,0,0,51.68122,1.4518,64.8635,28.0821984356,jdrasil-b50-n1
5,pace2016,beyond5000,0,0,0,51.68964,1.7272,64.6331,27.9317725274,tcs-b100-n1
5,pace2016,beyond5000,0,0,0,,,,,htd-b175-n1
5,pace2016,beyond5000,0,0,0,,,,,jdrasil-b75t90r40-n1
2,transit,.,0,0,0,0.52735,0.5237,0.531,0.00516187950266,jdrasil-b75-n1
2,transit,.,0,0,0,0.5479,0.5464,0.5494,0.00212132034356,tcs-b75-n1
2,transit,.,0,0,0,0.62045,0.6141,0.6268,0.00898025612107,jdrasil-b50-n1
2,transit,.,0,0,0,0.62245,0.6003,0.6446,0.0313248304066,tcs-b50-n1
2,transit,.,0,0,0,0.62795,0.5746,0.6813,0.0754482935526,jdrasil-b150-n1
2,transit,.,0,0,0,0.641,0.6352,0.6468,0.00820243866176,htd-b100-n1
2,transit,.,0,0,0,0.6452,0.6215,0.6689,0.0335168614282,jdrasil-b125-n1
2,transit,.,0,0,0,0.65875,0.64,0.6775,0.0265165042945,tcs-b125-n1
2,transit,.,0,0,0,0.66075,0.6371,0.6844,0.0334461507501,htd-b150-n1
2,transit,.,0,0,0,0.665,0.6046,0.7254,0.0854184991673,jdrasil-b100-n1
2,transit,.,0,0,0,0.67255,0.6565,0.6886,0.0226981276761,jdrasil-b25-n1
2,transit,.,0,0,0,0.7184,0.7128,0.724,0.00791959594929,tcs-b100-n1
2,transit,.,0,0,0,0.7482,0.6376,0.8588,0.156412019998,jdrasil-b75t1800-n1
2,transit,.,0,0,0,0.782,0.6873,0.8767,0.133926024357,tcs-b150-n1
2,transit,.,0,0,0,,,,,htd-b175-n1
2,transit,.,0,0,0,,,,,jdrasil-b75t90r40-n1
88,transit,atmost1000,65,142,9,277.095619318,7.6791,7200.14,1096.04244473,jdrasil-b75t1800-n1
88,transit,atmost1000,65,141,8,293.290159091,8.9539,7200.21,1139.14157273,jdrasil-b100-n1
88,transit,atmost1000,59,129,9,846.062775,7.3404,7200.13,2114.3722575,jdrasil-b125-n1
88,transit,atmost1000,55,125,8,1276.64072386,4.7571,7200.11,2421.33347153,tcs-b100-n1
88,transit,atmost1000,60,123,7,34.4196318182,8.7121,164.714,30.4337565123,jdrasil-b75-n1
88,transit,atmost1000,60,121,7,35.8451227273,4.9252,616.465,91.308990781,tcs-b75-n1
88,transit,atmost1000,53,107,9,1305.90549659,7.6133,7200.44,2607.94394236,jdrasil-b150-n1
88,transit,atmost1000,41,69,5,2608.59153295,4.824,7200.12,3296.15277568,tcs-b125-n1
88,transit,atmost1000,39,58,4,16.1675443182,8.7933,37.9141,6.06853735607,jdrasil-b50-n1
88,transit,atmost1000,41,55,4,11.3588477273,5.4345,31.0004,4.97715256078,tcs-b50-n1
88,transit,atmost1000,36,53,5,2909.95751364,5.3056,7200.11,3426.1850318,tcs-b150-n1
88,transit,atmost1000,21,30,2,4.80455,2.6393,8.4375,1.3969342626,htd-b100-n1
88,transit,atmost1000,16,23,2,4.62497727273,1.9706,8.6892,1.39311022047,htd-b150-n1
88,transit,atmost1000,3,3,1,9.53429204545,6.7777,16.8475,2.02282887363,jdrasil-b25-n1
88,transit,atmost1000,0,0,0,,,,,htd-b175-n1
88,transit,atmost1000,0,0,0,,,,,jdrasil-b75t90r40-n1
75,transit,atmost200,6,6,1,3.22956,2.1448,4.5812,0.523184401629,tcs-b75-n1
75,transit,atmost200,6,6,1,3.28294666667,2.1523,5.1994,0.604166924834,tcs-b50-n1
75,transit,atmost200,6,6,1,3.33834133333,2.0685,5.3254,0.647244066312,tcs-b100-n1
75,transit,atmost200,6,6,1,3.413932,2.4039,4.7381,0.565855984247,tcs-b125-n1
75,transit,atmost200,6,6,1,3.61643466667,2.2625,4.8663,0.593146596549,tcs-b150-n1
75,transit,atmost200,5,5,1,103.272024,4.6118,7200.1,830.546595038,jdrasil-b100-n1
75,transit,atmost200,5,5,1,103.415096,4.6539,7200.13,830.533947097,jdrasil-b75-n1
75,transit,atmost200,5,5,1,103.643618667,4.0906,7200.12,830.507120122,jdrasil-b150-n1
75,transit,atmost200,5,5,1,103.921753333,5.3748,7200.12,830.474203141,jdrasil-b75t1800-n1
75,transit,atmost200,5,5,1,104.425250667,4.2141,7200.14,830.417861268,jdrasil-b125-n1
75,transit,atmost200,5,5,1,150.689678667,5.0397,7200.1,923.664665406,jdrasil-b50-n1
75,transit,atmost200,3,3,1,101.758572,3.8432,7200.1,830.722632426,jdrasil-b25-n1
75,transit,atmost200,0,0,0,1.74082133333,1.1531,2.6941,0.202913816943,htd-b100-n1
75,transit,atmost200,0,0,0,1.78292533333,1.4105,2.5743,0.239719773392,htd-b150-n1
75,transit,atmost200,0,0,0,,,,,htd-b175-n1
75,transit,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
47,transit,atmost2000,29,92,7,2458.17399362,18.2398,7200.2,3084.46016972,jdrasil-b125-n1
47,transit,atmost2000,34,91,6,437.879748936,16.148,7200.13,1165.94641386,jdrasil-b75t1800-n1
47,transit,atmost2000,31,87,6,635.992757447,18.2611,7200.13,1761.9711877,jdrasil-b100-n1
47,transit,atmost2000,30,85,7,30.1839404255,10.7523,166.778,25.6790652821,tcs-b75-n1
47,transit,atmost2000,32,83,9,1238.64933191,10.8283,7200.11,2386.38491469,tcs-b100-n1
47,transit,atmost2000,30,66,6,42.6426978723,16.2262,304.624,43.2810256646,jdrasil-b75-n1
47,transit,atmost2000,20,66,7,3531.65148936,17.533,7200.36,3496.64669011,jdrasil-b150-n1
47,transit,atmost2000,21,49,6,3621.17224468,10.5566,7200.12,3342.70045816,tcs-b125-n1
47,transit,atmost2000,18,31,4,23.9789617021,11.6376,50.8131,9.24982258633,jdrasil-b50-n1
47,transit,atmost2000,11,21,4,8.27820212766,3.4755,13.6632,2.7172129346,htd-b100-n1
47,transit,atmost2000,17,21,2,17.7282553191,8.6653,38.1733,6.89626507513,tcs-b50-n1
47,transit,atmost2000,12,18,3,8.11909574468,3.4628,13.6499,2.47325863624,htd-b150-n1
47,transit,atmost2000,9,14,3,5327.19059574,11.4223,7200.12,3102.82849178,tcs-b150-n1
