instance,benchmark_name,tw_range,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solved,solver_config
count,,,count_nonzero,sum,amax,mean,amin,amax,std,sum,
146,twlib,"(0, 25]",16,17,2,3.46637534247,1.1078,15.7731,2.68792211021,146.0,htd-b100-n1
146,twlib,"(0, 25]",9,10,2,8.88292260274,4.1323,22.9543,3.04981169105,146.0,jdrasil-b25-n1
136,twlib,"(25, 50]",86,317,10,311.829321324,7.8057,7189.68,946.366525113,136.0,jdrasil-b125-n1
146,twlib,"(25, 50]",91,300,11,190.472528082,9.0622,3483.1,535.412351694,146.0,jdrasil-b75t1800-n1
143,twlib,"(25, 50]",88,295,11,170.696386713,7.3474,5528.31,664.184397285,143.0,jdrasil-b100-n1
118,twlib,"(25, 50]",83,284,12,176.532944068,5.9799,3628.87,436.766547457,118.0,tcs-b100-n1
127,twlib,"(25, 50]",80,281,9,456.523837008,10.3202,5701.56,999.267190262,127.0,jdrasil-b150-n1
149,twlib,"(25, 50]",81,264,12,41.6915040268,7.2685,630.693,55.0261989725,149.0,jdrasil-b75-n1
146,twlib,"(25, 50]",77,259,12,50.4242561644,7.1168,1784.31,157.193152847,146.0,tcs-b75-n1
101,twlib,"(25, 50]",74,259,9,419.979824752,6.3122,6371.27,1038.13235055,101.0,tcs-b125-n1
80,twlib,"(25, 50]",56,184,9,201.72857625,6.4624,3117.51,553.115543667,80.0,tcs-b150-n1
139,twlib,"(25, 50]",27,74,8,16.3973431655,7.0745,33.4646,6.18569088123,139.0,jdrasil-b50-n1
145,twlib,"(25, 50]",29,65,8,5.46477034483,1.2906,25.3185,3.70140136465,145.0,htd-b150-n1
146,twlib,"(25, 50]",24,59,8,5.43255616438,1.2413,24.4013,3.65457216599,146.0,htd-b100-n1
134,twlib,"(25, 50]",23,54,9,14.211061194,6.1005,31.5431,5.61330643231,134.0,tcs-b50-n1
48,twlib,"(50, 75]",34,86,10,255.2932625,12.8889,3531.1,551.162372708,48.0,jdrasil-b125-n1
37,twlib,"(50, 75]",28,72,7,679.268454054,11.2307,5581.08,1599.27657493,37.0,tcs-b125-n1
38,twlib,"(50, 75]",28,66,7,472.00465,15.1106,3953.48,895.679467403,38.0,jdrasil-b150-n1
