instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,15.1534,15.1534,15.1534,,jdrasil-b75t1800-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,16.996,16.996,16.996,,jdrasil-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,17.2014,17.2014,17.2014,,jdrasil-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,3,3,19.4012,19.4012,19.4012,,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,1,1,2.6535,2.6535,2.6535,,htd-b100-n1
1bkb_graph.dimacs,twlib,atmost200,1,1,1,2.7077,2.7077,2.7077,,htd-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,7.6408,7.6408,7.6408,,tcs-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,8.1865,8.1865,8.1865,,tcs-b125-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,8.2617,8.2617,8.2617,,tcs-b50-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,8.7264,8.7264,8.7264,,tcs-b100-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,9.979,9.979,9.979,,tcs-b75-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,13.7468,13.7468,13.7468,,jdrasil-b50-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,16.1797,16.1797,16.1797,,jdrasil-b75-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,16.5315,16.5315,16.5315,,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,18.684,18.684,18.684,,jdrasil-b125-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,19.9901,19.9901,19.9901,,jdrasil-b75t1800-n1
1bkb_graph.dimacs,twlib,atmost200,1,3,3,21.7046,21.7046,21.7046,,jdrasil-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,7.8585,7.8585,7.8585,,tcs-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,7.927,7.927,7.927,,tcs-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,8.5294,8.5294,8.5294,,tcs-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,8.8883,8.8883,8.8883,,tcs-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,9.9614,9.9614,9.9614,,tcs-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,11.6141,11.6141,11.6141,,jdrasil-b75-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,13.8442,13.8442,13.8442,,jdrasil-b50-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,15.3656,15.3656,15.3656,,jdrasil-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,16.6688,16.6688,16.6688,,jdrasil-b125-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,19.3514,19.3514,19.3514,,jdrasil-b75t1800-n1
1bkf_graph-pp.dimacs,twlib,atmost200,1,2,2,20.4174,20.4174,20.4174,,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,8.0775,8.0775,8.0775,,tcs-b150-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,8.1711,8.1711,8.1711,,tcs-b125-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,9.8327,9.8327,9.8327,,tcs-b50-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,10.0117,10.0117,10.0117,,tcs-b75-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,11.5421,11.5421,11.5421,,tcs-b100-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,13.0929,13.0929,13.0929,,jdrasil-b50-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,15.8367,15.8367,15.8367,,jdrasil-b75-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,17.1225,17.1225,17.1225,,jdrasil-b75t1800-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,18.3855,18.3855,18.3855,,jdrasil-b100-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,21.2054,21.2054,21.2054,,jdrasil-b125-n1
1bkf_graph.dimacs,twlib,atmost200,1,2,2,22.04,22.04,22.04,,jdrasil-b150-n1
1bkr_graph.dimacs,twlib,atmost200,1,11,11,2106.78,2106.78,2106.78,,jdrasil-b75t1800-n1
1bkr_graph.dimacs,twlib,atmost200,1,11,11,5298.89,5298.89,5298.89,,jdrasil-b100-n1
1bkr_graph.dimacs,twlib,atmost200,1,12,12,28.1745,28.1745,28.1745,,tcs-b75-n1
1bkr_graph.dimacs,twlib,atmost200,1,12,12,37.0925,37.0925,37.0925,,jdrasil-b75-n1
1bkr_graph.dimacs,twlib,atmost200,1,12,12,1296.69,1296.69,1296.69,,tcs-b100-n1
1cb6.edge,networks,atmost1000,1,3,3,135.588,135.588,135.588,,tcs-b125-n1
1cb6.edge,networks,atmost1000,1,3,3,406.225,406.225,406.225,,jdrasil-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,3.7493,3.7493,3.7493,,htd-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,4.3771,4.3771,4.3771,,htd-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,10.3809,10.3809,10.3809,,tcs-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,10.4609,10.4609,10.4609,,tcs-b125-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,10.7092,10.7092,10.7092,,tcs-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,11.0331,11.0331,11.0331,,jdrasil-b100-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,12.1801,12.1801,12.1801,,jdrasil-b75-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,12.637,12.637,12.637,,jdrasil-b150-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,13.2326,13.2326,13.2326,,tcs-b75-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,14.8314,14.8314,14.8314,,jdrasil-b75t1800-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,1,1,16.6539,16.6539,16.6539,,jdrasil-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,3.5896,3.5896,3.5896,,htd-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,4.0727,4.0727,4.0727,,htd-b150-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,11.0325,11.0325,11.0325,,tcs-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,11.3086,11.3086,11.3086,,tcs-b150-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,11.5925,11.5925,11.5925,,jdrasil-b75t1800-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,13.039,13.039,13.039,,tcs-b75-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,14.927,14.927,14.927,,jdrasil-b75-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,16.345,16.345,16.345,,jdrasil-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,16.3477,16.3477,16.3477,,tcs-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,20.5144,20.5144,20.5144,,jdrasil-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,1,1,21.4323,21.4323,21.4323,,jdrasil-b150-n1
1d2n.edge,networks,atmost500,1,1,1,4.5386,4.5386,4.5386,,htd-b150-n1
1d2n.edge,networks,atmost500,1,1,1,5.2995,5.2995,5.2995,,htd-b100-n1
1d2n.edge,networks,atmost500,1,2,2,13.5162,13.5162,13.5162,,tcs-b75-n1
1d2n.edge,networks,atmost500,1,2,2,18.8822,18.8822,18.8822,,jdrasil-b75-n1
1d2n.edge,networks,atmost500,1,2,2,20.0313,20.0313,20.0313,,jdrasil-b150-n1
1d2n.edge,networks,atmost500,1,2,2,20.645,20.645,20.645,,jdrasil-b100-n1
1d2n.edge,networks,atmost500,1,2,2,21.6362,21.6362,21.6362,,jdrasil-b125-n1
1d2n.edge,networks,atmost500,1,2,2,22.0027,22.0027,22.0027,,jdrasil-b75t1800-n1
1d2n.edge,networks,atmost500,1,3,3,15.1142,15.1142,15.1142,,tcs-b150-n1
1d2n.edge,networks,atmost500,1,3,3,16.1839,16.1839,16.1839,,tcs-b125-n1
1d2n.edge,networks,atmost500,1,3,3,16.273,16.273,16.273,,tcs-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,1,1,2.6878,2.6878,2.6878,,htd-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,1,1,3.0975,3.0975,3.0975,,htd-b150-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,9.4121,9.4121,9.4121,,tcs-b125-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,10.0591,10.0591,10.0591,,tcs-b150-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,10.5924,10.5924,10.5924,,tcs-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,10.9571,10.9571,10.9571,,tcs-b75-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,16.0996,16.0996,16.0996,,jdrasil-b150-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,17.0061,17.0061,17.0061,,jdrasil-b75-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,17.1388,17.1388,17.1388,,jdrasil-b125-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,17.1776,17.1776,17.1776,,jdrasil-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,4,4,20.3625,20.3625,20.3625,,jdrasil-b75t1800-n1
1e5k.edge,networks,atmost200,1,3,3,3.6114,3.6114,3.6114,,htd-b150-n1
1e5k.edge,networks,atmost200,1,3,3,130.306,130.306,130.306,,jdrasil-b75t1800-n1
1e5k.edge,networks,atmost200,1,3,3,144.89,144.89,144.89,,jdrasil-b100-n1
1e5k.edge,networks,atmost200,1,8,8,72.5865,72.5865,72.5865,,tcs-b100-n1
1eg3.edge,networks,atmost500,1,3,3,4.3222,4.3222,4.3222,,htd-b100-n1
1eg3.edge,networks,atmost500,1,3,3,4.6024,4.6024,4.6024,,htd-b150-n1
1eg3.edge,networks,atmost500,1,6,6,28.0965,28.0965,28.0965,,tcs-b150-n1
1eg3.edge,networks,atmost500,1,6,6,29.7823,29.7823,29.7823,,tcs-b100-n1
1eg3.edge,networks,atmost500,1,6,6,29.9485,29.9485,29.9485,,tcs-b125-n1
1eg3.edge,networks,atmost500,1,6,6,122.069,122.069,122.069,,jdrasil-b100-n1
1eg3.edge,networks,atmost500,1,6,6,128.407,128.407,128.407,,jdrasil-b125-n1
1eg3.edge,networks,atmost500,1,6,6,128.696,128.696,128.696,,jdrasil-b150-n1
1eg3.edge,networks,atmost500,1,6,6,135.179,135.179,135.179,,jdrasil-b75t1800-n1
1erv_graph.dimacs,twlib,atmost200,1,4,4,15.1402,15.1402,15.1402,,tcs-b75-n1
1erv_graph.dimacs,twlib,atmost200,1,4,4,33.5716,33.5716,33.5716,,jdrasil-b75-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,11.6092,11.6092,11.6092,,tcs-b125-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,11.8703,11.8703,11.8703,,tcs-b150-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,13.1818,13.1818,13.1818,,tcs-b100-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,83.9842,83.9842,83.9842,,jdrasil-b100-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,87.9808,87.9808,87.9808,,jdrasil-b75t1800-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,94.6956,94.6956,94.6956,,jdrasil-b150-n1
1erv_graph.dimacs,twlib,atmost200,1,6,6,97.7678,97.7678,97.7678,,jdrasil-b125-n1
1et9.edge,networks,atmost200,1,1,1,3.6108,3.6108,3.6108,,htd-b150-n1
1et9.edge,networks,atmost200,1,2,2,3.9534,3.9534,3.9534,,htd-b100-n1
1et9.edge,networks,atmost200,1,5,5,15.4458,15.4458,15.4458,,tcs-b75-n1
1et9.edge,networks,atmost200,1,5,5,41.6499,41.6499,41.6499,,jdrasil-b75-n1
1et9.edge,networks,atmost200,1,6,6,45.8807,45.8807,45.8807,,jdrasil-b100-n1
1et9.edge,networks,atmost200,1,6,6,49.3643,49.3643,49.3643,,jdrasil-b150-n1
1et9.edge,networks,atmost200,1,6,6,51.4549,51.4549,51.4549,,jdrasil-b75t1800-n1
1et9.edge,networks,atmost200,1,6,6,51.9525,51.9525,51.9525,,jdrasil-b125-n1
1et9.edge,networks,atmost200,1,6,6,90.728,90.728,90.728,,tcs-b100-n1
1et9.edge,networks,atmost200,1,6,6,93.3594,93.3594,93.3594,,tcs-b125-n1
1et9.edge,networks,atmost200,1,6,6,93.984,93.984,93.984,,tcs-b150-n1
1exm.edge,networks,atmost500,1,1,1,66.2717,66.2717,66.2717,,tcs-b150-n1
1f5f.edge,networks,atmost200,1,2,2,25.2953,25.2953,25.2953,,tcs-b75-n1
1f5f.edge,networks,atmost200,1,3,3,4.5168,4.5168,4.5168,,htd-b100-n1
1f5f.edge,networks,atmost200,1,6,6,148.696,148.696,148.696,,jdrasil-b100-n1
1f5f.edge,networks,atmost200,1,6,6,153.331,153.331,153.331,,jdrasil-b75t1800-n1
1f5f.edge,networks,atmost200,1,8,8,76.1024,76.1024,76.1024,,tcs-b100-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,2.8981,2.8981,2.8981,,htd-b100-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,4.4615,4.4615,4.4615,,htd-b150-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,10.7425,10.7425,10.7425,,tcs-b150-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,11.2307,11.2307,11.2307,,tcs-b125-n1
1f9m_graph.dimacs,twlib,atmost200,1,2,2,12.2082,12.2082,12.2082,,tcs-b100-n1
