instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1b0n_graph.dimacs,twlib,atmost200,2,8.3453,1.0,tcs-b125-n1
1b0n_graph.dimacs,twlib,atmost200,2,8.6676,1.0,tcs-b75-n1
1b0n_graph.dimacs,twlib,atmost200,2,10.087,1.0,tcs-b50-n1
1b0n_graph.dimacs,twlib,atmost200,2,13.0788,1.0,tcs-b100-n1
1b0n_graph.dimacs,twlib,atmost200,2,22.0105,1.0,jdrasil-b125-n1
1b0n_graph.dimacs,twlib,atmost200,2,22.9241,1.0,jdrasil-b150-n1
1b0n_graph.dimacs,twlib,atmost200,2,23.1367,1.0,jdrasil-b50-n1
1b0n_graph.dimacs,twlib,atmost200,2,24.483,1.0,jdrasil-b75-n1
1b0n_graph.dimacs,twlib,atmost200,2,25.4065,1.0,jdrasil-b100-n1
1b0n_graph.dimacs,twlib,atmost200,2,28.8725,1.0,jdrasil-b75t1800-n1
1b8e.edge,networks,atmost200,0,1.5907,1.0,htd-b100-n1
1b8e.edge,networks,atmost200,0,1.7799,1.0,htd-b150-n1
1b8e.edge,networks,atmost200,0,6.3148,1.0,jdrasil-b25-n1
1b8e.edge,networks,atmost200,0,10.7786,1.0,tcs-b50-n1
1b8e.edge,networks,atmost200,0,11.9495,1.0,jdrasil-b50-n1
1b8e.edge,networks,atmost200,0,7200.1,0.0,jdrasil-b75t1800-n1
1b8e.edge,networks,atmost200,0,7200.1,0.0,jdrasil-b100-n1
1b8e.edge,networks,atmost200,0,7200.12,0.0,jdrasil-b125-n1
1b8e.edge,networks,atmost200,0,7200.13,0.0,jdrasil-b150-n1
1b8e.edge,networks,atmost200,0,,,htd-b175-n1
1b8e.edge,networks,atmost200,0,,,jdrasil-b75t90r40-n1
1b8e.edge,networks,atmost200,5,14.5853,1.0,tcs-b75-n1
1b8e.edge,networks,atmost200,5,40.4354,1.0,jdrasil-b75-n1
1b8e.edge,networks,atmost200,5,122.677,1.0,tcs-b125-n1
1b8e.edge,networks,atmost200,5,124.281,1.0,tcs-b100-n1
1b8e.edge,networks,atmost200,5,133.985,1.0,tcs-b150-n1
1bkb.edge,networks,atmost200,0,21.4787,1.0,jdrasil-b25-n1
1bkb.edge,networks,atmost200,0,,,htd-b175-n1
1bkb.edge,networks,atmost200,0,,,jdrasil-b75t90r40-n1
1bkb.edge,networks,atmost200,2,2.1501,1.0,htd-b100-n1
1bkb.edge,networks,atmost200,2,2.4187,1.0,htd-b150-n1
1bkb.edge,networks,atmost200,3,6.2535,1.0,tcs-b150-n1
1bkb.edge,networks,atmost200,3,6.3782,1.0,tcs-b125-n1
1bkb.edge,networks,atmost200,3,6.4791,1.0,tcs-b50-n1
1bkb.edge,networks,atmost200,3,6.5013,1.0,tcs-b75-n1
1bkb.edge,networks,atmost200,3,6.6592,1.0,tcs-b100-n1
1bkb.edge,networks,atmost200,3,12.9226,1.0,jdrasil-b75-n1
1bkb.edge,networks,atmost200,3,15.4376,1.0,jdrasil-b75t1800-n1
1bkb.edge,networks,atmost200,3,16.8157,1.0,jdrasil-b50-n1
1bkb.edge,networks,atmost200,3,17.9358,1.0,jdrasil-b100-n1
1bkb.edge,networks,atmost200,3,18.7707,1.0,jdrasil-b125-n1
1bkb.edge,networks,atmost200,3,20.1648,1.0,jdrasil-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,0,7.8121,1.0,jdrasil-b25-n1
1bkb_graph-pp.dimacs,twlib,atmost200,0,,,htd-b175-n1
1bkb_graph-pp.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,2.6012,1.0,htd-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,1,2.9853,1.0,htd-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,7.3712,1.0,tcs-b150-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,7.9756,1.0,tcs-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,8.841,1.0,tcs-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,9.2901,1.0,tcs-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,9.4137,1.0,tcs-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,13.4724,1.0,jdrasil-b50-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,13.9962,1.0,jdrasil-b125-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,15.1534,1.0,jdrasil-b75t1800-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,16.996,1.0,jdrasil-b75-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,17.2014,1.0,jdrasil-b100-n1
1bkb_graph-pp.dimacs,twlib,atmost200,3,19.4012,1.0,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,0,5.8468,1.0,jdrasil-b25-n1
1bkb_graph.dimacs,twlib,atmost200,0,,,htd-b175-n1
1bkb_graph.dimacs,twlib,atmost200,0,,,jdrasil-b75t90r40-n1
1bkb_graph.dimacs,twlib,atmost200,1,2.6535,1.0,htd-b100-n1
1bkb_graph.dimacs,twlib,atmost200,1,2.7077,1.0,htd-b150-n1
1bkb_graph.dimacs,twlib,atmost200,3,7.6408,1.0,tcs-b150-n1
1bkb_graph.dimacs,twlib,atmost200,3,8.1865,1.0,tcs-b125-n1
1bkb_graph.dimacs,twlib,atmost200,3,8.2617,1.0,tcs-b50-n1
1bkb_graph.dimacs,twlib,atmost200,3,8.7264,1.0,tcs-b100-n1
1bkb_graph.dimacs,twlib,atmost200,3,9.979,1.0,tcs-b75-n1
1bkb_graph.dimacs,twlib,atmost200,3,13.7468,1.0,jdrasil-b50-n1
1bkb_graph.dimacs,twlib,atmost200,3,16.1797,1.0,jdrasil-b75-n1
1bkb_graph.dimacs,twlib,atmost200,3,16.5315,1.0,jdrasil-b150-n1
1bkb_graph.dimacs,twlib,atmost200,3,18.684,1.0,jdrasil-b125-n1
1bkb_graph.dimacs,twlib,atmost200,3,19.9901,1.0,jdrasil-b75t1800-n1
1bkb_graph.dimacs,twlib,atmost200,3,21.7046,1.0,jdrasil-b100-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,2.3379,1.0,htd-b150-n1
1bkf_graph-pp.dimacs,twlib,atmost200,0,2.5883,1.0,htd-b100-n1
