,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
22510,Promedus_23.edge,networks,atmost1000,17.0,21.0,4,0.2353,1.0,147.581,tw-limprovement,jdrasil-b75-n1,22510,1,1.0,146.7316,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost1000/Promedus_23.edge/run1,
2326,Promedus_26.edge,networks,atmost1000,,,0,0.0,,6.8957,tw-limprovement,jdrasil-b125-n1,2326,0,1.0,0.0,cobra,,32,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_26.edge/run1,
2364,Promedus_32.edge,networks,atmost1000,9.0,9.0,0,0.0,1.0,14.4908,tw-limprovement,jdrasil-b125-n1,2364,1,1.0,13.6076,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_32.edge/run1,
6295,Promedus_38.edge,networks,atmost1000,16.0,23.0,7,0.4375,1.0,421.567,tw-limprovement,jdrasil-b150-n1,6295,1,1.0,420.6316,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedus_38.edge/run1,
2318,blockmap_05_01-0000.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,53.4066,tw-limprovement,jdrasil-b125-n1,2318,1,1.0,52.7577,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0000.edge/run1,
2374,blockmap_05_01-0001.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,57.4546,tw-limprovement,jdrasil-b125-n1,2374,1,1.0,56.6304,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0001.edge/run1,
2446,blockmap_05_01-0002.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,27.6087,tw-limprovement,jdrasil-b125-n1,2446,1,1.0,26.7263,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0002.edge/run1,
2453,blockmap_05_01-0003.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,142.483,tw-limprovement,jdrasil-b125-n1,2453,1,1.0,141.6325,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0003.edge/run1,
2407,blockmap_05_01-0004.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,63.0824,tw-limprovement,jdrasil-b125-n1,2407,1,1.0,62.2133,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0004.edge/run1,
2345,blockmap_05_01-0005.edge,networks,atmost1000,17.0,17.0,0,0.0,1.0,80.7515,tw-limprovement,jdrasil-b125-n1,2345,1,1.0,79.9107,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_01-0005.edge/run1,
