instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,error,wall,wall,solver_args,run
,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amin,std,amax,mean,amax,,count
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,695.208,695.208,695.208,,tw-limprovement,jdrasil-b150-n1,694.4851,,0,694.4851,694.4851,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1a6m.edge,networks,atmost200,42.0,42.0,42.0,,45.0,45.0,45.0,,1,3,3,703.205,703.205,703.205,,tw-limprovement,jdrasil-b125-n1,702.4111,,0,702.4111,702.4111,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1a8i.edge,networks,atmost1000,124.0,124.0,124.0,,128.0,128.0,128.0,,1,4,4,20.5659,20.5659,20.5659,,tw-limprovement,htd-b150-n1,20.0013,,0,20.0013,20.0013,-w 1800 -b 150 -r 10 -s htd_main,1
1a8i.edge,networks,atmost1000,124.0,124.0,124.0,,128.0,128.0,128.0,,1,4,4,123.841,123.841,123.841,,tw-limprovement,jdrasil-b150-n1,123.0287,,0,123.0287,123.0287,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,9.8156,9.8156,9.8156,,tw-limprovement,tcs-b125-n1,9.1085,,0,9.1085,9.1085,-w 1800 -b 125 -r 10,1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,10.2505,10.2505,10.2505,,tw-limprovement,tcs-b150-n1,9.543,,0,9.543,9.543,-w 1800 -b 150 -r 10,1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,10.5299,10.5299,10.5299,,tw-limprovement,tcs-b75-n1,9.9854,,0,9.9854,9.9854,-w 1800 -b 75 -r 10,1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,12.3984,12.3984,12.3984,,tw-limprovement,jdrasil-b100-n1,11.8885,,0,11.8885,11.8885,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,14.1823,14.1823,14.1823,,tw-limprovement,tcs-b100-n1,13.6835,,0,13.6835,13.6835,-w 1800 -b 100 -r 10,1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,14.2883,14.2883,14.2883,,tw-limprovement,jdrasil-b150-n1,13.7401,,0,13.7401,13.7401,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,15.3346,15.3346,15.3346,,tw-limprovement,jdrasil-b75-n1,14.7532,,0,14.7532,14.7532,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,19.5054,19.5054,19.5054,,tw-limprovement,jdrasil-b75t1800-n1,18.7302,,0,18.7302,18.7302,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1
1aac_graph-pp.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,25.6901,25.6901,25.6901,,tw-limprovement,jdrasil-b125-n1,24.2304,,0,24.2304,24.2304,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,10.1055,10.1055,10.1055,,tw-limprovement,tcs-b125-n1,9.3787,,0,9.3787,9.3787,-w 1800 -b 125 -r 10,1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,10.4234,10.4234,10.4234,,tw-limprovement,tcs-b150-n1,9.616,,0,9.616,9.616,-w 1800 -b 150 -r 10,1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,11.2583,11.2583,11.2583,,tw-limprovement,tcs-b75-n1,10.7178,,0,10.7178,10.7178,-w 1800 -b 75 -r 10,1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,11.6894,11.6894,11.6894,,tw-limprovement,tcs-b100-n1,11.098,,0,11.098,11.098,-w 1800 -b 100 -r 10,1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,16.3336,16.3336,16.3336,,tw-limprovement,jdrasil-b75-n1,15.5539,,0,15.5539,15.5539,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,17.7498,17.7498,17.7498,,tw-limprovement,jdrasil-b150-n1,17.1858,,0,17.1858,17.1858,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,18.4637,18.4637,18.4637,,tw-limprovement,jdrasil-b100-n1,17.3826,,0,17.3826,17.3826,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,22.5546,22.5546,22.5546,,tw-limprovement,jdrasil-b125-n1,20.8788,,0,20.8788,20.8788,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1
1aac_graph.dimacs,twlib,atmost200,43.0,43.0,43.0,,50.0,50.0,50.0,,1,7,7,23.8374,23.8374,23.8374,,tw-limprovement,jdrasil-b75t1800-n1,22.8168,,0,22.8168,22.8168,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1
1b0n_graph.dimacs,twlib,atmost200,35.0,35.0,35.0,,36.0,36.0,36.0,,1,1,1,2.1624,2.1624,2.1624,,tw-limprovement,htd-b100-n1,1.6319,,0,1.6319,1.6319,-w 1800 -b 100 -r 10 -s htd_main,1
1b0n_graph.dimacs,twlib,atmost200,35.0,35.0,35.0,,36.0,36.0,36.0,,1,1,1,3.1627,3.1627,3.1627,,tw-limprovement,htd-b150-n1,2.0125,,0,2.0125,2.0125,-w 1800 -b 150 -r 10 -s htd_main,1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,8.2724,8.2724,8.2724,,tw-limprovement,tcs-b150-n1,7.5814,,0,7.5814,7.5814,-w 1800 -b 150 -r 10,1
1b0n_graph.dimacs,twlib,atmost200,34.0,34.0,34.0,,36.0,36.0,36.0,,1,2,2,8.3453,8.3453,8.3453,,tw-limprovement,tcs-b125-n1,7.5746,,0,7.5746,7.5746,-w 1800 -b 125 -r 10,1
