instance,benchmark_name,class,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver_config
,,,count_nonzero,sum,amax,mean,amin,amax,std,
1b0n_graph.dimacs,twlib,atmost200,1,2,2,23.1367,23.1367,23.1367,,jdrasil-b50-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,24.483,24.483,24.483,,jdrasil-b75-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,25.4065,25.4065,25.4065,,jdrasil-b100-n1
1b0n_graph.dimacs,twlib,atmost200,1,2,2,28.8725,28.8725,28.8725,,jdrasil-b75t1800-n1
1b8e.edge,networks,atmost200,0,0,0,1.5907,1.5907,1.5907,,htd-b100-n1
1b8e.edge,networks,atmost200,0,0,0,1.7799,1.7799,1.7799,,htd-b150-n1
1b8e.edge,networks,atmost200,0,0,0,6.3148,6.3148,6.3148,,jdrasil-b25-n1
1b8e.edge,networks,atmost200,0,0,0,10.7786,10.7786,10.7786,,tcs-b50-n1
1b8e.edge,networks,atmost200,0,0,0,11.9495,11.9495,11.9495,,jdrasil-b50-n1
1b8e.edge,networks,atmost200,0,0,0,7200.1,7200.1,7200.1,,jdrasil-b100-n1
1b8e.edge,networks,atmost200,0,0,0,7200.1,7200.1,7200.1,,jdrasil-b75t1800-n1
1b8e.edge,networks,atmost200,0,0,0,7200.12,7200.12,7200.12,,jdrasil-b125-n1
1b8e.edge,networks,atmost200,0,0,0,7200.13,7200.13,7200.13,,jdrasil-b150-n1
1b8e.edge,networks,atmost200,0,0,0,,,,,htd-b175-n1
1b8e.edge,networks,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1b8e.edge,networks,atmost200,1,5,5,14.5853,14.5853,14.5853,,tcs-b75-n1
1b8e.edge,networks,atmost200,1,5,5,40.4354,40.4354,40.4354,,jdrasil-b75-n1
1b8e.edge,networks,atmost200,1,5,5,122.677,122.677,122.677,,tcs-b125-n1
1b8e.edge,networks,atmost200,1,5,5,124.281,124.281,124.281,,tcs-b100-n1
1b8e.edge,networks,atmost200,1,5,5,133.985,133.985,133.985,,tcs-b150-n1
1bkb.edge,networks,atmost200,0,0,0,21.4787,21.4787,21.4787,,jdrasil-b25-n1
1bkb.edge,networks,atmost200,0,0,0,,,,,htd-b175-n1
1bkb.edge,networks,atmost200,0,0,0,,,,,jdrasil-b75t90r40-n1
1bkb.edge,networks,atmost200,1,2,2,2.1501,2.1501,2.1501,,htd-b100-n1
