instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
1b0n_graph.dimacs,twlib,atmost200,35.0,36.0,1,0.0286,1.0,3.1627,tw-limprovement,htd-b150-n1,1,1.0,2.0125,cobra,,0,-w 1800 -b 150 -r 10 -s htd_main,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-htd-b150-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,8.2724,tw-limprovement,tcs-b150-n1,1,1.0,7.5814,cobra,,0,-w 1800 -b 150 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b150-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,8.3453,tw-limprovement,tcs-b125-n1,1,1.0,7.5746,cobra,,0,-w 1800 -b 125 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b125-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,8.6676,tw-limprovement,tcs-b75-n1,1,1.0,7.9964,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b75-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,10.087,tw-limprovement,tcs-b50-n1,1,1.0,9.5218,cobra,,0,-w 1800 -b 50 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b50-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,13.0788,tw-limprovement,tcs-b100-n1,1,1.0,10.7262,cobra,,0,-w 1800 -b 100 -r 10,output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-tcs-b100-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,22.0105,tw-limprovement,jdrasil-b125-n1,1,1.0,21.365,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b125-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,22.9241,tw-limprovement,jdrasil-b150-n1,1,1.0,22.3776,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b150-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,23.1367,tw-limprovement,jdrasil-b50-n1,1,1.0,22.5034,cobra,,0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b50-n1/atmost200/1b0n_graph.dimacs/run1,
1b0n_graph.dimacs,twlib,atmost200,34.0,36.0,2,0.0588,1.0,24.483,tw-limprovement,jdrasil-b75-n1,1,1.0,23.8328,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/twlib/tw-limprovement-1.0-jdrasil-b75-n1/atmost200/1b0n_graph.dimacs/run1,
