instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
210,networks,atmost500,16.8497109827,2.0,125.0,17.1002673183,17.323699422,2.0,125.0,17.5190714738,36,82,12,295.391378571,2.38,7200.1,1379.91730633,tw-limprovement,tcs-b100-n1,7199.5508,0.0,-w 1800 -b 100 -r 10,1202.23167865,222.385424286
210,networks,atmost500,16.1647058824,2.0,125.0,15.8217489879,16.6352941176,2.0,125.0,16.3854077517,35,80,9,493.132025714,4.863,7200.15,1737.67250956,tw-limprovement,jdrasil-b150-n1,7199.3515,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1465.27343072,350.934349524
210,networks,atmost500,15.9047619048,2.0,125.0,15.7891185509,16.2857142857,2.0,125.0,16.1631438726,32,64,9,510.782188571,5.0458,7200.14,1794.85652579,tw-limprovement,jdrasil-b125-n1,7199.5116,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1605.0123068,401.118622381
210,networks,atmost500,17.4357541899,2.0,125.0,17.3726524036,17.7877094972,2.0,125.0,17.5194808041,38,63,4,21.8572952381,4.985,443.954,48.7802535021,tw-limprovement,jdrasil-b75-n1,443.352,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",48.5790405277,17.6610852381
210,networks,atmost500,16.1696969697,2.0,125.0,16.7632816809,16.5515151515,2.0,125.0,17.2628199307,30,63,12,714.663897619,2.7867,7200.13,2114.04535677,tw-limprovement,tcs-b125-n1,7199.5705,0.0,-w 1800 -b 125 -r 10,1798.54044784,497.705070476
210,networks,atmost500,17.3707865169,2.0,125.0,17.4413509704,17.7078651685,2.0,125.0,17.5362109605,37,60,3,79.6833361905,2.2127,7200.1,700.244202338,tw-limprovement,tcs-b75-n1,7199.5384,0.0,-w 1800 -b 75 -r 10,496.681662212,42.6006714286
210,networks,atmost500,15.4844720497,2.0,125.0,15.5965162737,15.7826086957,2.0,125.0,15.9858123238,28,48,6,839.966372857,2.9003,7200.12,2292.34951914,tw-limprovement,tcs-b150-n1,7199.4537,0.0,-w 1800 -b 150 -r 10,2018.56842402,622.597879524
210,networks,atmost500,17.5251396648,2.0,125.0,17.4968114064,17.7877094972,2.0,125.0,17.5194808041,31,47,3,11.4122952381,5.0889,88.916,7.45602821149,tw-limprovement,jdrasil-b50-n1,31.2937,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",5.72471849056,8.40090142857
210,networks,atmost500,17.5168539326,2.0,125.0,17.5181019272,17.7078651685,2.0,125.0,17.5362109605,24,34,2,41.2921766667,2.1979,7200.09,496.451511886,tw-limprovement,tcs-b50-n1,7199.5475,0.0,-w 1800 -b 50 -r 10,496.526518949,39.6883547619
210,networks,atmost500,17.6424581006,2.0,125.0,17.3083595635,17.7877094972,2.0,125.0,17.5194808041,15,26,5,2.91541,1.3599,11.715,1.20806148103,tw-limprovement,htd-b150-n1,11.1514,0.0,-w 1800 -b 150 -r 10 -s htd_main,1.39050381794,1.86663142857
210,networks,atmost500,17.6759776536,2.0,125.0,17.3524610021,17.7877094972,2.0,125.0,17.5194808041,10,20,7,2.76601571429,1.4301,11.9077,1.16961727813,tw-limprovement,htd-b100-n1,11.0393,0.0,-w 1800 -b 100 -r 10 -s htd_main,1.35166746022,1.81248190476
210,networks,atmost500,17.7765363128,2.0,125.0,17.5241505031,17.7877094972,2.0,125.0,17.5194808041,2,2,1,7.08473904762,4.2399,30.6604,2.50873641526,tw-limprovement,jdrasil-b25-n1,30.1005,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3.3616111231,5.51732952381
81,networks,atmost5000,44.2133333333,25.0,131.0,25.1096478353,46.1733333333,30.0,131.0,24.4221727642,55,147,6,258.336522222,16.0934,1743.74,319.815530254,tw-limprovement,jdrasil-b75t1800-n1,1742.9523,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",320.732547649,256.320377778
81,networks,atmost5000,44.2266666667,25.0,131.0,25.101186218,46.1733333333,30.0,131.0,24.4221727642,55,146,6,254.748848148,16.0076,1810.23,320.025247516,tw-limprovement,jdrasil-b100-n1,1809.3065,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",320.927140231,252.765553086
81,networks,atmost5000,45.1733333333,27.0,131.0,24.8652440237,46.1733333333,30.0,131.0,24.4221727642,40,75,4,19.5822765432,11.4072,30.4158,4.5385823756,tw-limprovement,htd-b150-n1,29.8515,0.0,-w 1800 -b 150 -r 10 -s htd_main,6.72944164684,17.8278580247
81,networks,atmost5000,45.2,26.0,131.0,24.9285465367,46.1733333333,30.0,131.0,24.4221727642,34,73,6,45.6187333333,15.8971,112.673,19.4438293118,tw-limprovement,jdrasil-b75-n1,111.8331,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",21.5114539453,43.7370641975
81,networks,atmost5000,48.0980392157,26.0,131.0,28.3945451817,49.4901960784,30.0,131.0,27.7693158353,26,71,6,3170.2223963,37.7731,7200.13,3086.03420825,tw-limprovement,tcs-b100-n1,7199.4515,0.0,-w 1800 -b 100 -r 10,3090.63420558,3164.99512593
81,networks,atmost5000,45.3333333333,28.0,131.0,24.8113603739,46.1733333333,30.0,131.0,24.4221727642,36,63,5,19.743982716,11.9358,33.9097,4.78935819142,tw-limprovement,htd-b100-n1,33.3696,0.0,-w 1800 -b 100 -r 10 -s htd_main,6.92589055899,17.9880012346
81,networks,atmost5000,44.75,26.0,131.0,24.7908149733,45.5972222222,30.0,131.0,24.3557320218,26,61,4,512.657341975,15.7949,7200.11,1441.92139412,tw-limprovement,tcs-b75-n1,7199.5572,0.0,-w 1800 -b 75 -r 10,1442.32560164,510.867266667
81,networks,atmost5000,51.5789473684,28.0,131.0,33.0827231623,53.1842105263,30.0,131.0,32.5043492002,27,61,10,3830.26735802,16.0478,7200.19,3254.39809603,tw-limprovement,jdrasil-b125-n1,7199.5564,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3255.75166586,3828.31460617
81,networks,atmost5000,55.9117647059,30.0,131.0,31.9216537574,56.5882352941,30.0,131.0,31.7977678339,11,23,6,4362.90912469,15.9328,7200.22,3097.27044818,tw-limprovement,tcs-b125-n1,7199.568,0.0,-w 1800 -b 125 -r 10,3098.87859107,4361.0603716
81,networks,atmost5000,45.92,28.0,131.0,24.5768293427,46.1733333333,30.0,131.0,24.4221727642,17,19,2,36.836817284,21.8804,101.554,11.9041865741,tw-limprovement,jdrasil-b50-n1,53.2943,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",11.1334688044,31.0014679012
81,networks,atmost5000,45.2602739726,29.0,131.0,24.3362026831,45.3835616438,30.0,131.0,24.2547991454,9,9,1,488.402682716,17.7981,7200.12,1467.12633183,tw-limprovement,tcs-b50-n1,7199.4956,0.0,-w 1800 -b 50 -r 10,1259.80781489,395.133204938
81,networks,atmost5000,104.333333333,57.0,131.0,27.744368798,104.555555556,59.0,131.0,27.3226605179,1,2,2,5874.25280988,16.1148,7200.35,2798.59089024,tw-limprovement,jdrasil-b150-n1,7199.562,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",2800.97314309,5872.23024568
81,networks,atmost5000,77.2142857143,38.0,131.0,40.8264216323,77.2857142857,38.0,131.0,40.7910785333,1,1,1,5582.59080988,16.0192,7200.14,2890.04583925,tw-limprovement,tcs-b150-n1,7199.4799,0.0,-w 1800 -b 150 -r 10,2892.28142361,5580.69073951
153,networks,beyond5000,46.1764705882,2.0,108.0,25.162559722,47.6470588235,2.0,108.0,24.9648282001,11,25,6,2018.41540784,52.3136,7200.18,3072.94451408,tw-limprovement,tcs-b100-n1,7199.4993,0.0,-w 1800 -b 100 -r 10,3098.86671277,1977.24223987
153,networks,beyond5000,47.3018867925,2.0,117.0,17.0187508645,47.3773584906,2.0,117.0,17.0059112066,4,4,1,70.2636,55.5215,105.947,12.1569525615,tw-limprovement,jdrasil-b50-n1,105.3942,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",40.4790304832,29.0389836601
10,pace2016,atmost1000,48.7142857143,4.0,104.0,34.9366774117,50.7142857143,4.0,104.0,36.0171916623,3,14,10,228.73128,8.7586,1918.18,596.4577983,tw-limprovement,jdrasil-b100-n1,1917.6059,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",598.009435363,224.34192
10,pace2016,atmost1000,48.7142857143,4.0,104.0,34.9366774117,50.7142857143,4.0,104.0,36.0171916623,3,14,10,414.26556,6.9478,3732.26,1167.513446,tw-limprovement,jdrasil-b75t1800-n1,3731.4159,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",1169.2214031,408.97111
