instance,benchmark_name,class,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,time,time,time,time,solver,solver_config,wall,wall,solver_args,wall,wall
count,,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,mean,amin,amax,std,,,amax,amin,,std,mean
118,networks,atmost200,26.24,9.0,65.0,15.6239132955,27.68,9.0,65.0,16.0512720161,15,36,6,457.036188136,5.7954,7200.13,1706.63170276,tw-limprovement,jdrasil-b150-n1,7199.3644,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1708.71959568,448.071220339
118,networks,atmost200,26.24,9.0,65.0,15.6239132955,27.68,9.0,65.0,16.0512720161,15,36,6,457.145235593,5.2537,7200.12,1706.87913299,tw-limprovement,jdrasil-b125-n1,7199.5373,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1708.88810261,448.354647458
118,networks,atmost200,28.625,9.0,65.0,16.8460773648,29.65625,9.0,65.0,16.5151140455,15,33,4,5.42003474576,2.3025,54.3919,5.58973783902,tw-limprovement,tcs-b50-n1,53.8658,0.0,-w 1800 -b 50 -r 10,6.34609268103,2.43076101695
118,networks,atmost200,28.625,9.0,65.0,16.8460773648,29.65625,9.0,65.0,16.5151140455,15,33,4,12.8152521368,5.7466,56.3166,5.23838418545,tw-limprovement,jdrasil-b50-n1,55.7349,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",7.85111015966,4.02459576271
118,networks,atmost200,29.0,9.0,65.0,16.3529616534,29.65625,9.0,65.0,16.5151140455,11,21,3,1.87086355932,0.9775,4.5168,0.522845771358,tw-limprovement,htd-b100-n1,3.9703,0.0,-w 1800 -b 100 -r 10 -s htd_main,0.856895226452,0.459441525424
118,networks,atmost200,29.03125,9.0,65.0,16.3756002106,29.65625,9.0,65.0,16.5151140455,11,20,3,1.89258898305,0.9701,3.6124,0.500167945774,tw-limprovement,htd-b150-n1,3.0501,0.0,-w 1800 -b 150 -r 10 -s htd_main,0.824469526961,0.450874576271
118,networks,atmost200,29.5,9.0,65.0,16.6559105076,29.65625,9.0,65.0,16.5151140455,4,5,2,16.6075279661,3.8869,33.5075,6.42552523141,tw-limprovement,jdrasil-b25-n1,25.279,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",7.77518268075,4.32159576271
118,networks,atmost200,,,,,,,,,0,0,0,,,,,tw-limprovement,htd-b175-n1,0.0,0.0,-w 1800 -b 75 -r 10 -s htd_main,0.0,0.0
118,networks,atmost200,,,,,,,,,0,0,0,,,,,tw-limprovement,jdrasil-b75t90r40-n1,0.0,0.0,"-w 180 -b 100 -r 10 -s jdrasil -a '"" -log -t 90 -e PBLib_incremental ""'",0.0,0.0
279,networks,atmost2000,56.1450381679,7.0,122.0,29.7052500248,60.7404580153,7.0,122.0,29.5709284957,96,602,16,3231.17666057,10.486,7200.38,3317.91366219,tw-limprovement,jdrasil-b125-n1,7199.5701,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3340.67640777,3074.73707957
279,networks,atmost2000,53.0777777778,7.0,122.0,28.0636657587,56.2888888889,7.0,122.0,26.9509152194,115,578,13,1889.41119534,10.0096,7200.15,2952.96321935,tw-limprovement,jdrasil-b75t1800-n1,7199.5493,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",2961.40744909,1874.22237455
279,networks,atmost2000,52.6888888889,7.0,122.0,31.9024652791,58.8888888889,7.0,122.0,34.6917224348,76,558,20,4642.15520108,8.3054,7200.17,3183.66447057,tw-limprovement,jdrasil-b150-n1,7199.5674,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3347.73770568,4155.41788638
279,networks,atmost2000,54.3470588235,7.0,122.0,28.3359519821,57.4470588235,7.0,122.0,27.2238174013,105,527,13,1971.97316093,12.8274,7200.15,3044.86600859,tw-limprovement,jdrasil-b100-n1,7199.5704,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3053.16902452,1957.33970251
279,networks,atmost2000,47.6303317536,7.0,203.0,30.3314362994,50.1232227488,7.0,203.0,29.8914541226,141,526,15,1417.57987446,5.8847,7200.13,2210.77662038,tw-limprovement,tcs-b100-n1,7199.5579,0.0,-w 1800 -b 100 -r 10,2170.73944124,1298.38356237
279,networks,atmost2000,46.9411764706,7.0,122.0,28.0888566333,48.4537815126,7.0,122.0,27.2886579116,133,360,10,95.036897482,13.226,907.082,129.922604756,tw-limprovement,jdrasil-b75-n1,906.0167,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",132.395477962,88.6820064516
279,networks,atmost2000,47.4978540773,7.0,122.0,28.1394502286,48.7339055794,7.0,122.0,27.4362507292,122,288,11,394.408967742,5.9237,7200.2,1130.34924969,tw-limprovement,tcs-b75-n1,7199.614,0.0,-w 1800 -b 75 -r 10,1131.70834529,389.674246953
279,networks,atmost2000,52.83,7.0,122.0,35.7511192168,54.84,7.0,122.0,35.8097441736,66,201,19,4497.20143369,6.367,7200.18,3279.29054278,tw-limprovement,tcs-b125-n1,7199.4849,0.0,-w 1800 -b 125 -r 10,3412.92645449,3919.12175269
279,networks,atmost2000,47.7945205479,7.0,122.0,37.4295482296,49.6849315068,7.0,122.0,37.8079491613,56,138,11,5328.09122545,6.2172,7200.13,2989.04619956,tw-limprovement,tcs-b150-n1,7199.5209,0.0,-w 1800 -b 150 -r 10,3332.49125837,4613.47359534
279,networks,atmost2000,47.8368200837,7.0,122.0,27.4203687389,48.3974895397,7.0,122.0,27.245170607,90,134,6,9.14219354839,3.5835,27.7129,3.78937981725,tw-limprovement,htd-b150-n1,27.117,0.0,-w 1800 -b 150 -r 10 -s htd_main,4.54972422408,7.17868637993
279,networks,atmost2000,48.050209205,7.0,122.0,27.4626864876,48.3974895397,7.0,122.0,27.245170607,59,83,5,9.25953082437,3.1221,27.5185,3.40720391415,tw-limprovement,htd-b100-n1,26.9601,0.0,-w 1800 -b 100 -r 10 -s htd_main,4.30231544575,7.31404014337
279,networks,atmost2000,48.7291666667,7.0,203.0,29.2416991643,49.0416666667,7.0,203.0,28.9617828785,51,75,4,23.6617637993,10.5847,106.84,10.5489418062,tw-limprovement,jdrasil-b50-n1,106.1076,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",11.8443745547,19.1031985663
279,networks,atmost2000,49.2435897436,7.0,203.0,29.3245210334,49.3931623932,7.0,203.0,29.175643103,31,35,2,230.65378638,5.6124,7200.1,1153.24448052,tw-limprovement,tcs-b50-n1,7199.5724,0.0,-w 1800 -b 50 -r 10,1075.33452131,199.857673477
279,networks,atmost2000,49.0375,7.0,203.0,28.9661945873,49.0416666667,7.0,203.0,28.9617828785,1,1,1,18.1331354839,8.7792,108.189,9.6373383728,tw-limprovement,jdrasil-b25-n1,107.5701,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",9.57910659735,14.3985577061
279,networks,atmost2000,,,,,,,,,0,0,0,,,,,tw-limprovement,htd-b175-n1,0.0,0.0,-w 1800 -b 75 -r 10 -s htd_main,0.0,0.0
279,networks,atmost2000,,,,,,,,,0,0,0,,,,,tw-limprovement,jdrasil-b75t90r40-n1,0.0,0.0,"-w 180 -b 100 -r 10 -s jdrasil -a '"" -log -t 90 -e PBLib_incremental ""'",0.0,0.0
210,networks,atmost500,17.2824858757,2.0,125.0,17.1304944249,17.7966101695,2.0,125.0,17.6185397519,38,91,9,207.714423333,4.6001,7200.14,1099.00566565,tw-limprovement,jdrasil-b100-n1,7199.541,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",704.625314437,99.5188285714
210,networks,atmost500,17.2215909091,2.0,125.0,17.160146179,17.7386363636,2.0,125.0,17.651867934,38,91,9,236.71468,5.1223,7200.12,1199.08641002,tw-limprovement,jdrasil-b75t1800-n1,7199.3174,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",856.006945202,128.591809048
210,networks,atmost500,16.8497109827,2.0,125.0,17.1002673183,17.323699422,2.0,125.0,17.5190714738,36,82,12,295.391378571,2.38,7200.1,1379.91730633,tw-limprovement,tcs-b100-n1,7199.5508,0.0,-w 1800 -b 100 -r 10,1202.23167865,222.385424286
210,networks,atmost500,16.1647058824,2.0,125.0,15.8217489879,16.6352941176,2.0,125.0,16.3854077517,35,80,9,493.132025714,4.863,7200.15,1737.67250956,tw-limprovement,jdrasil-b150-n1,7199.3515,0.0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1465.27343072,350.934349524
210,networks,atmost500,15.9047619048,2.0,125.0,15.7891185509,16.2857142857,2.0,125.0,16.1631438726,32,64,9,510.782188571,5.0458,7200.14,1794.85652579,tw-limprovement,jdrasil-b125-n1,7199.5116,0.0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",1605.0123068,401.118622381
210,networks,atmost500,17.4357541899,2.0,125.0,17.3726524036,17.7877094972,2.0,125.0,17.5194808041,38,63,4,21.8572952381,4.985,443.954,48.7802535021,tw-limprovement,jdrasil-b75-n1,443.352,0.0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",48.5790405277,17.6610852381
210,networks,atmost500,16.1696969697,2.0,125.0,16.7632816809,16.5515151515,2.0,125.0,17.2628199307,30,63,12,714.663897619,2.7867,7200.13,2114.04535677,tw-limprovement,tcs-b125-n1,7199.5705,0.0,-w 1800 -b 125 -r 10,1798.54044784,497.705070476
210,networks,atmost500,17.3707865169,2.0,125.0,17.4413509704,17.7078651685,2.0,125.0,17.5362109605,37,60,3,79.6833361905,2.2127,7200.1,700.244202338,tw-limprovement,tcs-b75-n1,7199.5384,0.0,-w 1800 -b 75 -r 10,496.681662212,42.6006714286
210,networks,atmost500,15.4844720497,2.0,125.0,15.5965162737,15.7826086957,2.0,125.0,15.9858123238,28,48,6,839.966372857,2.9003,7200.12,2292.34951914,tw-limprovement,tcs-b150-n1,7199.4537,0.0,-w 1800 -b 150 -r 10,2018.56842402,622.597879524
210,networks,atmost500,17.5251396648,2.0,125.0,17.4968114064,17.7877094972,2.0,125.0,17.5194808041,31,47,3,11.4122952381,5.0889,88.916,7.45602821149,tw-limprovement,jdrasil-b50-n1,31.2937,0.0,"-w 1800 -b 50 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",5.72471849056,8.40090142857
210,networks,atmost500,17.5168539326,2.0,125.0,17.5181019272,17.7078651685,2.0,125.0,17.5362109605,24,34,2,41.2921766667,2.1979,7200.09,496.451511886,tw-limprovement,tcs-b50-n1,7199.5475,0.0,-w 1800 -b 50 -r 10,496.526518949,39.6883547619
210,networks,atmost500,17.6424581006,2.0,125.0,17.3083595635,17.7877094972,2.0,125.0,17.5194808041,15,26,5,2.91541,1.3599,11.715,1.20806148103,tw-limprovement,htd-b150-n1,11.1514,0.0,-w 1800 -b 150 -r 10 -s htd_main,1.39050381794,1.86663142857
210,networks,atmost500,17.6759776536,2.0,125.0,17.3524610021,17.7877094972,2.0,125.0,17.5194808041,10,20,7,2.76601571429,1.4301,11.9077,1.16961727813,tw-limprovement,htd-b100-n1,11.0393,0.0,-w 1800 -b 100 -r 10 -s htd_main,1.35166746022,1.81248190476
210,networks,atmost500,17.7765363128,2.0,125.0,17.5241505031,17.7877094972,2.0,125.0,17.5194808041,2,2,1,7.08473904762,4.2399,30.6604,2.50873641526,tw-limprovement,jdrasil-b25-n1,30.1005,0.0,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",3.3616111231,5.51732952381
210,networks,atmost500,,,,,,,,,0,0,0,,,,,tw-limprovement,htd-b175-n1,0.0,0.0,-w 1800 -b 75 -r 10 -s htd_main,0.0,0.0
210,networks,atmost500,,,,,,,,,0,0,0,,,,,tw-limprovement,jdrasil-b75t90r40-n1,0.0,0.0,"-w 180 -b 100 -r 10 -s jdrasil -a '"" -log -t 90 -e PBLib_incremental ""'",0.0,0.0
81,networks,atmost5000,44.2133333333,25.0,131.0,25.1096478353,46.1733333333,30.0,131.0,24.4221727642,55,147,6,258.336522222,16.0934,1743.74,319.815530254,tw-limprovement,jdrasil-b75t1800-n1,1742.9523,0.0,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'",320.732547649,256.320377778
81,networks,atmost5000,44.2266666667,25.0,131.0,25.101186218,46.1733333333,30.0,131.0,24.4221727642,55,146,6,254.748848148,16.0076,1810.23,320.025247516,tw-limprovement,jdrasil-b100-n1,1809.3065,0.0,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",320.927140231,252.765553086
81,networks,atmost5000,45.1733333333,27.0,131.0,24.8652440237,46.1733333333,30.0,131.0,24.4221727642,40,75,4,19.5822765432,11.4072,30.4158,4.5385823756,tw-limprovement,htd-b150-n1,29.8515,0.0,-w 1800 -b 150 -r 10 -s htd_main,6.72944164684,17.8278580247
