,instance,solver_config,abs_improvement
11713,or_chain_105.fg.edge,jdrasil-b75t1800-n1,7
1770,or_chain_108.fg.edge,jdrasil-b125-n1,14
5702,or_chain_110.fg.edge,jdrasil-b150-n1,13
9596,or_chain_113.fg.edge,tcs-b100-n1,8
1706,or_chain_115.fg.edge,jdrasil-b125-n1,5
9581,or_chain_116.fg.edge,tcs-b100-n1,11
11873,or_chain_119.fg.edge,jdrasil-b75t1800-n1,9
1685,or_chain_120.fg.edge,jdrasil-b125-n1,5
5541,or_chain_121.fg.edge,jdrasil-b150-n1,17
5759,or_chain_124.fg.edge,jdrasil-b150-n1,17
11796,or_chain_127.fg.edge,jdrasil-b75t1800-n1,8
1885,or_chain_129.fg.edge,jdrasil-b125-n1,2
21919,or_chain_130.fg.edge,jdrasil-b75-n1,6
13945,or_chain_134.fg.edge,tcs-b125-n1,4
5785,or_chain_14.fg.edge,jdrasil-b150-n1,14
5777,or_chain_144.fg.edge,jdrasil-b150-n1,13
5659,or_chain_145.fg.edge,jdrasil-b150-n1,17
5527,or_chain_151.fg.edge,jdrasil-b150-n1,11
11920,or_chain_157.fg.edge,jdrasil-b75t1800-n1,11
5569,or_chain_16.fg.edge,jdrasil-b150-n1,17
1910,or_chain_160.fg.edge,jdrasil-b125-n1,9
9690,or_chain_162.fg.edge,tcs-b100-n1,12
1848,or_chain_163.fg.edge,jdrasil-b125-n1,8
1765,or_chain_164.fg.edge,jdrasil-b125-n1,9
11874,or_chain_167.fg.edge,jdrasil-b75t1800-n1,8
11817,or_chain_169.fg.edge,jdrasil-b75t1800-n1,6
1673,or_chain_170.fg.edge,jdrasil-b125-n1,14
11864,or_chain_173.fg.edge,jdrasil-b75t1800-n1,7
11851,or_chain_177.fg.edge,jdrasil-b75t1800-n1,6
27978,or_chain_178.fg.edge,jdrasil-b100-n1,11
1837,or_chain_179.fg.edge,jdrasil-b125-n1,11
5784,or_chain_186.fg.edge,jdrasil-b150-n1,3
5618,or_chain_187.fg.edge,jdrasil-b150-n1,18
21783,or_chain_188.fg.edge,jdrasil-b75-n1,4
11695,or_chain_190.fg.edge,jdrasil-b75t1800-n1,6
1723,or_chain_192.fg.edge,jdrasil-b125-n1,9
1708,or_chain_195.fg.edge,jdrasil-b125-n1,13
9756,or_chain_2.fg.edge,tcs-b100-n1,3
11698,or_chain_200.fg.edge,jdrasil-b75t1800-n1,13
1769,or_chain_202.fg.edge,jdrasil-b125-n1,11
5669,or_chain_21.fg.edge,jdrasil-b150-n1,2
5547,or_chain_210.fg.edge,jdrasil-b150-n1,16
11921,or_chain_214.fg.edge,jdrasil-b75t1800-n1,4
1745,or_chain_217.fg.edge,jdrasil-b125-n1,6
5726,or_chain_219.fg.edge,jdrasil-b150-n1,10
9584,or_chain_22.fg.edge,tcs-b100-n1,9
11902,or_chain_221.fg.edge,jdrasil-b75t1800-n1,8
5568,or_chain_224.fg.edge,jdrasil-b150-n1,20
11845,or_chain_227.fg.edge,jdrasil-b75t1800-n1,6
9726,or_chain_229.fg.edge,tcs-b100-n1,10
1781,or_chain_230.fg.edge,jdrasil-b125-n1,12
1746,or_chain_234.fg.edge,jdrasil-b125-n1,12
9677,or_chain_235.fg.edge,tcs-b100-n1,4
11690,or_chain_236.fg.edge,jdrasil-b75t1800-n1,3
5758,or_chain_239.fg.edge,jdrasil-b150-n1,8
1721,or_chain_24.fg.edge,jdrasil-b125-n1,13
