instance,benchmark_name,width,width,width,width,ubound,ubound,ubound,ubound,abs_improvement,abs_improvement,abs_improvement,solved,time,time,time,time,solver,solver_config,wall,tw_range,wall,wall,wall,wall,solver_args
count,,mean,amin,amax,std,mean,amin,amax,std,count_nonzero,sum,amax,sum,mean,amin,amax,std,,,amin,,std,sum,mean,amax,
303,networks,38.1056105611,26.0,50.0,7.41812271241,38.1056105611,26.0,50.0,7.41812271241,0,0,0,303.0,28.5029422442,6.3148,101.991,26.0443384838,tw-limprovement,jdrasil-b25-n1,5.6908,"(25, 50]",25.9763465137,8429.5529,27.8203066007,101.2706,"-w 1800 -b 25 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
54,networks,59.462962963,51.0,72.0,6.42727960576,67.4074074074,52.0,84.0,8.13916346014,49,429,16,54.0,659.023101852,29.7752,1694.74,517.112661998,tw-limprovement,jdrasil-b125-n1,29.1591,"(50, 75]",517.092404179,35537.7444,658.106377778,1693.8864,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
31,networks,60.7096774194,51.0,75.0,7.52415465191,69.8064516129,54.0,95.0,11.7286525365,27,282,20,31.0,1624.4810129,33.864,7195.95,1786.91916075,tw-limprovement,jdrasil-b150-n1,33.2145,"(50, 75]",1786.90129739,50333.4335,1623.65914516,7195.3607,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
57,networks,60.7192982456,51.0,75.0,7.62222873754,64.2807017544,52.0,75.0,6.35765676163,33,203,13,57.0,153.056375439,23.9884,1216.07,178.588454409,tw-limprovement,jdrasil-b75t1800-n1,22.739,"(50, 75]",178.588841964,8674.8082,152.189617544,1215.3385,"-w 3600 -b 100 -r 10 -s jdrasil -a '"" -log -t 1800 -e PBLib_incremental ""'"
57,networks,60.7192982456,51.0,75.0,7.62222873754,64.2807017544,52.0,75.0,6.35765676163,33,203,13,57.0,154.040787719,20.8608,1231.41,181.925080513,tw-limprovement,jdrasil-b100-n1,19.87,"(50, 75]",181.926687142,8732.635,153.204122807,1230.6644,"-w 1800 -b 100 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'"
49,networks,61.0612244898,51.0,75.0,8.19402262645,64.4693877551,52.0,75.0,6.64925447205,25,167,15,49.0,217.287020408,13.9611,1500.48,421.637619539,tw-limprovement,tcs-b100-n1,13.3367,"(50, 75]",421.673814119,10605.4911,216.438593878,1499.8105,-w 1800 -b 100 -r 10
25,networks,60.2,52.0,75.0,7.65941686205,66.4,54.0,89.0,10.9163485959,23,155,19,25.0,1244.704856,11.7224,5854.98,1705.18601168,tw-limprovement,tcs-b125-n1,11.0005,"(50, 75]",1705.16442934,31099.1483,1243.965932,5854.2202,-w 1800 -b 125 -r 10
14,networks,59.1428571429,51.0,69.0,7.31549612237,63.2142857143,54.0,78.0,9.47205258747,12,57,9,14.0,2036.56761429,12.2366,6627.97,3004.37199317,tw-limprovement,tcs-b150-n1,11.506,"(50, 75]",3004.35454393,28501.8801,2035.84857857,6627.1389,-w 1800 -b 150 -r 10
77,networks,60.974025974,51.0,75.0,6.91104003517,61.6623376623,51.0,75.0,7.17013247622,20,53,6,77.0,7.45006103896,2.1089,20.0856,2.95600611602,tw-limprovement,htd-b150-n1,1.446,"(50, 75]",2.96251866656,525.6176,6.8262025974,19.5279,-w 1800 -b 150 -r 10 -s htd_main
77,networks,61.2207792208,51.0,75.0,7.23773622762,61.6623376623,51.0,75.0,7.17013247622,15,34,7,77.0,8.18298701299,2.0858,20.1815,2.91361236726,tw-limprovement,htd-b100-n1,1.4875,"(50, 75]",2.90283225737,582.5952,7.56617142857,19.5372,-w 1800 -b 100 -r 10 -s htd_main
74,networks,61.6216216216,51.0,75.0,7.22003055187,61.6891891892,51.0,75.0,7.15565812272,3,5,2,74.0,25.3252945946,12.2806,38.9989,5.4709734627,tw-limprovement,tcs-b75-n1,11.646,"(50, 75]",5.46804703925,1827.0765,24.690222973,38.4021,-w 1800 -b 75 -r 10
