,instance,benchmark_name,class,width,ubound,abs_improvement,rel_improvement,solved,time,solver,solver_config,index,run,solver_version,wall,machine,stderr,error,solver_args,full_path,error_str
2425,Promedus_16.edge,networks,atmost1000,11.0,13.0,2,0.1818,1.0,304.378,tw-limprovement,jdrasil-b125-n1,2425,1,1.0,303.5703,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_16.edge/run1,
6268,Promedus_17.edge,networks,atmost1000,20.0,21.0,1,0.05,1.0,1750.61,tw-limprovement,jdrasil-b150-n1,6268,1,1.0,1749.7249,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedus_17.edge/run1,
29734,Promedus_19.edge,networks,atmost1000,21.0,24.0,3,0.1429,1.0,241.667,tw-limprovement,tcs-b75-n1,29734,1,1.0,241.0198,cobra,,0,-w 1800 -b 75 -r 10,output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-tcs-b75-n1/atmost1000/Promedus_19.edge/run1,
2342,Promedus_20.edge,networks,atmost1000,18.0,21.0,3,0.1667,1.0,460.508,tw-limprovement,jdrasil-b125-n1,2342,1,1.0,459.8908,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/Promedus_20.edge/run1,
22510,Promedus_23.edge,networks,atmost1000,17.0,21.0,4,0.2353,1.0,147.581,tw-limprovement,jdrasil-b75-n1,22510,1,1.0,146.7316,cobra,,0,"-w 1800 -b 75 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b75-n1/atmost1000/Promedus_23.edge/run1,
6295,Promedus_38.edge,networks,atmost1000,16.0,23.0,7,0.4375,1.0,421.567,tw-limprovement,jdrasil-b150-n1,6295,1,1.0,420.6316,cobra,,0,"-w 1800 -b 150 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b150-n1/atmost1000/Promedus_38.edge/run1,
2400,blockmap_05_02-0000.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,73.8021,tw-limprovement,jdrasil-b125-n1,2400,1,1.0,72.9059,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0000.edge/run1,
2457,blockmap_05_02-0001.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,38.2647,tw-limprovement,jdrasil-b125-n1,2457,1,1.0,37.4146,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0001.edge/run1,
2306,blockmap_05_02-0002.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,42.5232,tw-limprovement,jdrasil-b125-n1,2306,1,1.0,41.8536,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0002.edge/run1,
2301,blockmap_05_02-0003.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,38.4452,tw-limprovement,jdrasil-b125-n1,2301,1,1.0,37.6566,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0003.edge/run1,
2391,blockmap_05_02-0004.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,40.0022,tw-limprovement,jdrasil-b125-n1,2391,1,1.0,39.1183,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0004.edge/run1,
2394,blockmap_05_02-0005.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,34.7392,tw-limprovement,jdrasil-b125-n1,2394,1,1.0,33.8756,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0005.edge/run1,
2329,blockmap_05_02-0006.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,38.2985,tw-limprovement,jdrasil-b125-n1,2329,1,1.0,37.4307,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0006.edge/run1,
2292,blockmap_05_02-0007.edge,networks,atmost1000,17.0,18.0,1,0.0588,1.0,41.2283,tw-limprovement,jdrasil-b125-n1,2292,1,1.0,40.4537,cobra,,0,"-w 1800 -b 125 -r 10 -s jdrasil -a '"" -log -t 900 -e PBLib_incremental ""'",output/local-improvement-new/cobra/results/networks/tw-limprovement-1.0-jdrasil-b125-n1/atmost1000/blockmap_05_02-0007.edge/run1,
