instance,benchmark_name,class,abs_improvement,time,solved,solver_config
1cuk_graph-pp.dimacs,twlib,atmost200,1,14.8314,1.0,jdrasil-b75t1800-n1
1cuk_graph-pp.dimacs,twlib,atmost200,1,16.6539,1.0,jdrasil-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,3.5896,1.0,htd-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,4.0727,1.0,htd-b150-n1
1cuk_graph.dimacs,twlib,atmost200,1,11.0325,1.0,tcs-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,11.3086,1.0,tcs-b150-n1
1cuk_graph.dimacs,twlib,atmost200,1,11.5925,1.0,jdrasil-b75t1800-n1
1cuk_graph.dimacs,twlib,atmost200,1,13.039,1.0,tcs-b75-n1
1cuk_graph.dimacs,twlib,atmost200,1,14.927,1.0,jdrasil-b75-n1
1cuk_graph.dimacs,twlib,atmost200,1,16.345,1.0,jdrasil-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,16.3477,1.0,tcs-b100-n1
1cuk_graph.dimacs,twlib,atmost200,1,20.5144,1.0,jdrasil-b125-n1
1cuk_graph.dimacs,twlib,atmost200,1,21.4323,1.0,jdrasil-b150-n1
1d2n.edge,networks,atmost500,1,4.5386,1.0,htd-b150-n1
1d2n.edge,networks,atmost500,1,5.2995,1.0,htd-b100-n1
1d2n.edge,networks,atmost500,2,13.5162,1.0,tcs-b75-n1
1d2n.edge,networks,atmost500,2,18.8822,1.0,jdrasil-b75-n1
1d2n.edge,networks,atmost500,2,20.0313,1.0,jdrasil-b150-n1
1d2n.edge,networks,atmost500,2,20.645,1.0,jdrasil-b100-n1
1d2n.edge,networks,atmost500,2,21.6362,1.0,jdrasil-b125-n1
1d2n.edge,networks,atmost500,2,22.0027,1.0,jdrasil-b75t1800-n1
1d2n.edge,networks,atmost500,3,15.1142,1.0,tcs-b150-n1
1d2n.edge,networks,atmost500,3,16.1839,1.0,tcs-b125-n1
1d2n.edge,networks,atmost500,3,16.273,1.0,tcs-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,2.6878,1.0,htd-b100-n1
1d4t_graph.dimacs,twlib,atmost200,1,3.0975,1.0,htd-b150-n1
1d4t_graph.dimacs,twlib,atmost200,4,9.4121,1.0,tcs-b125-n1
1d4t_graph.dimacs,twlib,atmost200,4,10.0591,1.0,tcs-b150-n1
1d4t_graph.dimacs,twlib,atmost200,4,10.5924,1.0,tcs-b100-n1
